"Time (s) Run #1","Absolute Pressure (kPa) Run #1","Temperature (°C) Run #1","Abs (K) Run #1"
0.000,102.470,37.57,310.72
0.050,102.466,37.60,310.75
0.100,102.487,37.64,310.79
0.150,102.498,37.67,310.82
0.200,102.481,37.70,310.85
0.250,102.518,37.73,310.88
0.300,102.514,37.76,310.91
0.350,102.540,37.79,310.94
0.400,102.561,37.82,310.97
0.450,102.544,37.86,311.01
0.500,102.535,37.88,311.03
0.550,102.544,37.92,311.07
0.600,102.568,37.95,311.10
0.650,102.609,37.99,311.14
0.700,102.563,38.01,311.16
0.750,102.596,38.04,311.19
0.800,102.576,38.08,311.23
0.850,102.563,38.11,311.26
0.900,102.600,38.14,311.29
0.950,102.613,38.17,311.32
1.000,102.624,38.20,311.35
1.050,102.639,38.24,311.39
1.100,102.626,38.26,311.41
1.150,102.635,38.30,311.45
1.200,102.650,38.33,311.48
1.250,102.663,38.36,311.51
1.300,102.650,38.39,311.54
1.350,102.650,38.42,311.57
1.400,102.646,38.45,311.60
1.450,102.663,38.49,311.64
1.500,102.635,38.51,311.66
1.550,102.702,38.55,311.70
1.600,102.700,38.58,311.73
1.650,102.689,38.61,311.76
1.700,102.661,38.64,311.79
1.750,102.674,38.67,311.82
1.800,102.696,38.69,311.84
1.850,102.726,38.73,311.88
1.900,102.728,38.76,311.91
1.950,102.737,38.79,311.94
2.000,102.720,38.82,311.97
2.050,102.726,38.85,312.00
2.100,102.739,38.88,312.03
2.150,102.739,38.91,312.06
2.200,102.778,38.94,312.09
2.250,102.754,38.98,312.13
2.300,102.761,39.01,312.16
2.350,102.791,39.04,312.19
2.400,102.804,39.07,312.22
2.450,102.806,39.10,312.25
2.500,102.796,39.13,312.28
2.550,102.798,39.17,312.32
2.600,102.830,39.20,312.35
2.650,102.815,39.23,312.38
2.700,102.800,39.26,312.41
2.750,102.837,39.29,312.44
2.800,102.826,39.32,312.47
2.850,102.869,39.35,312.50
2.900,102.863,39.38,312.53
2.950,102.871,39.41,312.56
3.000,102.841,39.44,312.59
3.050,102.850,39.48,312.63
3.100,102.858,39.51,312.66
3.150,102.882,39.54,312.69
3.200,102.858,39.57,312.72
3.250,102.895,39.61,312.76
3.300,102.882,39.65,312.80
3.350,102.919,39.70,312.85
3.400,102.882,39.74,312.89
3.450,102.904,39.79,312.94
3.500,102.876,39.84,312.99
3.550,102.913,39.90,313.05
3.600,102.895,39.96,313.11
3.650,102.919,40.02,313.17
3.700,102.943,40.07,313.22
3.750,102.928,40.12,313.27
3.800,102.921,40.16,313.31
3.850,102.947,40.21,313.36
3.900,102.967,40.25,313.40
3.950,102.971,40.29,313.44
4.000,102.969,40.33,313.48
4.050,102.956,40.36,313.51
4.100,102.965,40.41,313.56
4.150,102.995,40.45,313.60
4.200,102.960,40.49,313.64
4.250,103.015,40.53,313.68
4.300,103.015,40.57,313.72
4.350,102.993,40.61,313.76
4.400,103.000,40.65,313.80
4.450,103.000,40.70,313.85
4.500,102.969,40.73,313.88
4.550,103.000,40.77,313.92
4.600,102.991,40.81,313.96
4.650,102.989,40.84,313.99
4.700,103.017,40.88,314.03
4.750,103.017,40.91,314.06
4.800,103.049,40.94,314.09
4.850,103.021,40.97,314.12
4.900,103.058,41.00,314.15
4.950,103.026,41.03,314.18
5.000,103.058,41.06,314.21
5.050,103.045,41.08,314.23
5.100,103.047,41.11,314.26
5.150,103.056,41.13,314.28
5.200,103.073,41.16,314.31
5.250,103.078,41.18,314.33
5.300,103.084,41.20,314.35
5.350,103.080,41.22,314.37
